aleihhoupen,aleizhpenn,1939
aleun,aleun,1961
aleun,aleun,1948
aleun,aleun,1948
aleun,aleun,1948
alivadou,alivado,1893
aliou,aliv,1929
aliou,aliv,1995
Alod,alod,1727
alonkadennou,alonkadenno,1904
alonkadou,alonkado,1913
alorc'h,alorc'h,1982
lusqueu,alusko,1792
anebeudouigou,anebeudoigo,1834
anebeutanebeut,anebeutanebeut,1894
Aneubeuddaneubeud,anebeutdanebeut,1908
anebeutzo,anebeutzo,1893
Anebeutzo,anebeutzo,1920
aneptu,aneptu,1727
anerzkaloun,anerzhkalon,1866
anerskalon,anerzhkalon,1910
aneuvad,aneuzvat,1865
arac,arak,1821
arac,arak,1821
aranngalon,aranngalon,1908
aredare,aredare,1902
arebill,arebilh,1925
aredfors,aredforzh,1839
reclom,areklom,1804
remoul,aremoul,1787
arendaren,arendaren,1867
arancad,arenkad,1861
arengen,arenkenn,1884
arengenn,arenkenn,1919
arenkenadou,arenkennado,1866
arestennou,arestenno,1913
aretourn,aretorn,1790
aretourn,aretorn,1821
aretourn,aretorn,1821
aretorn,aretorn,1855
aretorn,aretorn,1857
aretorn,aretorn,1861
aretorn,aretorn,1884
areuziadou,areuziado,1920
areuziado,areuziado,1955
arezadou,arezado,1929
areziad,areziad,1982
aribl,aribl,1869
aribl,aribl,1877
vontaribgant,aribl,1880
aribl,aribl,1870
aribl,aribl,1889
ariolen,ariolenn,1838
ariolen,ariolenn,1896
ariolennadeu,ariolennado,1854
aruannad,aroevat,1843
aruannad,aroevat,1863
aroudennou,aroudenno,1864
arumderum,arummdarumm,1838
arumdarum,arummdarumm,1868
arumdarum,arummdarumm,1893
arumdarum,arummdarumm,1902
arumdarum,arummdarumm,1907
arummdarumm,arummdarumm,1911
arumdarum,arummdarumm,1912
arumdarum,arummdarumm,1912
arummadou,arummado,1906
arummadou,arummado,1906
aruzbotez,aruzbotez,1947
aruzkof,aruzkof,1922
aruzreor,aruzrevr,1923
chomasac'h,asac'h,1937
asahad,asac'had,1913
sammedivrh,asammdivrec'h,1792
Asavtaol,asavtaol,1950
Asavtaol,asavtaol,1953
Ase,ase,1937
azerlagad,aserrlagad,1834
askampeubras,askampo,1974
askampeubras,askampo,1979
askan,askav,1921
askelp,askerb,1939
askelb,askerb,1944
skerb,askerb,1958
askiant,askiant,1893
askign,askign,1933
askign,askign,1981
askiltr,askiltr,1945
askolp,askolp,1907
askouarn,askouarn,1964
askuer,askouer,1883
erstalgostez,astalgostez,1872
astalgostez,astalgostez,1911
astalgostez,astalgostez,1932
astampou,astampo,1922
asted,asteud,1904
Asted,asteud,1905
asted,asteud,1919
astedeu,asteudo,1849
astdeu,asteudo,1897
astoc'henn,astoc'henn,1990
astoccroc'hen,astokkroc'hen,1859
astourm,astourm,1931
astrabil,astrabilh,1887
astrafouilh,astrafuilh,1925
lakaatastrap,astrap,1964
astribill,astribilh,1910
astribilh,astribilh,1919
astribouilhstrabouilh,astribouilhstrabouilh,1964
astrimp,astrimp,1921
astrink,astrink,1928
astrob,astrob,1877
astroll,astroll,1909
astroll,astroll,1915
astrollad,astrollad,1908
astrollad,astrollad,1923
astrollad,astrollad,1943
astrollou,astrollo,1883
astummgant,astummgant,1942
astummgant,astummgant,1954
auntu,auntu,1927
unt,auntu,1846
ganthan,auntu,1866
auntuganthan,auntu,1942
aunvan,aunvan,1925
aunvangante,aunvan,1922
aunvanganto,aunvan,1923
avah,avac'h,1844
avac'h,avac'h,1847
avagadou,avagado,1915
avandennad,avandennad,1893
avandennadou,avandennado,1894
avaredavare,avaredavare,1879
avarr,avarr,1836
avad,avat,1936
avad,avat,1937
avad,avat,1943
avad,avat,1877
avad,avat,1890
avat,avat,1904
avad,avat,1896
avgad,avegad,1861
avgad,avegad,1906
avgad,avegad,1907
Avgad,avegad,1918
hoaretavgad,avegad,1934
avgad,avegad,1937
egrognnonavgad,avegad,1905
avgad,avegad,1936
avemor,avemor,1834
avnfians,avenefias,1974
avnfians,avenefias,1975
avnfianskaer,avenefias,1977
avnfianskaer,avenefias,1982
avent,avent,1890
aventgand,avent,1874
aventgant,avent,1933
averadou,averado,1906
aveskell,aveskell,1968
aveskell,aveskell,1942
aveskell,aveskell,1942
Aviez,aviez,1877
aviezda,aviez,1774
deuz,aviez,1903
avihantra,avihantra,1844
avilbell,avilbell,1911
avilvern,avilvern,1908
avilvern,avilvern,1911
avilvern,avilvern,1925
avillerou,aviliero,1894
avillerou,aviliero,1905
avillerou,aviliero,1906
avilionou,aviliono,1894
vitin,avintin,1787
avitin,avintin,1821
Avitin,avintin,1849
avitin,avintin,1939
hiviziken,aviziken,1651
aviziken,aviziken,1847
aviziken,aviziken,1869
avizikenn,aviziken,1889
aviziken,aviziken,1893
Avloaszo,avloazzo,1868
avole,avole,1866
vostad,avostad,1787
vostad,avostad,1792
avostad,avostad,1849
avostad,avostad,1906
avostad,avostad,1921
vostad,avostad,1804
avostadeu,avostado,1856
avostadeu,avostado,1893
avostadeu,avostado,1907
avostadeu,avostado,1921
vouchadou,avouchado,1890
avosadou,avozado,1727
avozadou,avozado,1866
Avozadou,avozado,1867
